Arealregnskap[Kommune],Arealregnskap[Arealformålsgruppe],Arealregnskap[Planreservekategori],Arealregnskap[Arealtype],[Dekar]
Holmestrand,06 Næringsvirksomhet,Antatt planreserve,Myr,27.034464287969342
Holmestrand,06 Næringsvirksomhet,Antatt planreserve,Skog,488.5107869827716
Holmestrand,06 Næringsvirksomhet,Antatt planreserve,Åpen fastmark,170.88443985250288
Holmestrand,06 Næringsvirksomhet,Planlagt og i bruk,Bebygd,1367.814650306941
Holmestrand,06 Næringsvirksomhet,Planlagt og i bruk,Ferskvann,7.743029004687379
Holmestrand,06 Næringsvirksomhet,Planlagt og i bruk,Fulldyrka jord,5.578222066861471
Holmestrand,06 Næringsvirksomhet,Planlagt og i bruk,Hav,0.39019243756414307
Holmestrand,06 Næringsvirksomhet,Planlagt og i bruk,Innmarksbeite,2.0492610896379633
Holmestrand,06 Næringsvirksomhet,Planlagt og i bruk,Samferdsel,299.2103345009991
Holmestrand,06 Næringsvirksomhet,Planlagt og i bruk,Skog,37.470755621541386
Holmestrand,06 Næringsvirksomhet,Planlagt og i bruk,Åpen fastmark,33.11723844268889
Holmestrand,07 Råstoffutvinning,Antatt planreserve,Myr,76.52147180881818
Holmestrand,07 Råstoffutvinning,Antatt planreserve,Skog,255.98981728754558
Holmestrand,07 Råstoffutvinning,Antatt planreserve,Åpen fastmark,12.347974397823926
Holmestrand,07 Råstoffutvinning,Planlagt og i bruk,Bebygd,333.2607018912917
Holmestrand,07 Råstoffutvinning,Planlagt og i bruk,Ferskvann,2.1454796878465956
Holmestrand,07 Råstoffutvinning,Planlagt og i bruk,Samferdsel,24.082917473554218
Holmestrand,07 Råstoffutvinning,Planlagt og i bruk,Skog,2.6572588837494315
Holmestrand,07 Råstoffutvinning,Planlagt og i bruk,Åpen fastmark,2.5064028789518704
Holmestrand,08 Kombinerte formål,Antatt planreserve,Bebygd,1.5030254489636474
Holmestrand,08 Kombinerte formål,Antatt planreserve,Fulldyrka jord,69.15376341331462
Holmestrand,08 Kombinerte formål,Antatt planreserve,Skog,3.349991673294067
Holmestrand,08 Kombinerte formål,Antatt planreserve,Åpen fastmark,16.82009611368673
Holmestrand,08 Kombinerte formål,Planlagt og i bruk,Bebygd,276.3979140921988
Holmestrand,08 Kombinerte formål,Planlagt og i bruk,Ferskvann,0.6932201810675049
Holmestrand,08 Kombinerte formål,Planlagt og i bruk,Fulldyrka jord,1.8472209856182051
Holmestrand,08 Kombinerte formål,Planlagt og i bruk,Hav,0.08844506455348677
Holmestrand,08 Kombinerte formål,Planlagt og i bruk,Innmarksbeite,0.2303308267042671
Holmestrand,08 Kombinerte formål,Planlagt og i bruk,Samferdsel,31.959866152565176
Holmestrand,08 Kombinerte formål,Planlagt og i bruk,Skog,10.06283871606068
Holmestrand,08 Kombinerte formål,Planlagt og i bruk,Åpen fastmark,21.736708325931886
Holmestrand,09 Idrettsanlegg,Antatt planreserve,Ferskvann,0.6974498208673927
Holmestrand,09 Idrettsanlegg,Antatt planreserve,Fulldyrka jord,459.9662745365448
Holmestrand,09 Idrettsanlegg,Antatt planreserve,Innmarksbeite,8.137589165271043
Holmestrand,09 Idrettsanlegg,Antatt planreserve,Myr,3.2644943308608654
Holmestrand,09 Idrettsanlegg,Antatt planreserve,Skog,431.0792879697779
Holmestrand,09 Idrettsanlegg,Antatt planreserve,Åpen fastmark,140.34574382496567
Holmestrand,09 Idrettsanlegg,Planlagt og i bruk,Bebygd,113.63305202469236
Holmestrand,09 Idrettsanlegg,Planlagt og i bruk,Ferskvann,40.72949861711579
Holmestrand,09 Idrettsanlegg,Planlagt og i bruk,Fulldyrka jord,88.09738697081104
Holmestrand,09 Idrettsanlegg,Planlagt og i bruk,Innmarksbeite,26.97275043556472
Holmestrand,09 Idrettsanlegg,Planlagt og i bruk,Myr,15.882293892959831
Holmestrand,09 Idrettsanlegg,Planlagt og i bruk,Samferdsel,49.49763549965784
Holmestrand,09 Idrettsanlegg,Planlagt og i bruk,Skog,128.47901830746082
Holmestrand,09 Idrettsanlegg,Planlagt og i bruk,Åpen fastmark,924.285979252704
Holmestrand,10 Andre formål,Planlagt og i bruk,Bebygd,301.6951963798711
Holmestrand,10 Andre formål,Planlagt og i bruk,Ferskvann,0.6607060224155097
Holmestrand,10 Andre formål,Planlagt og i bruk,Fulldyrka jord,25.620710380834634
Holmestrand,10 Andre formål,Planlagt og i bruk,Hav,3.9177836138326776
Holmestrand,10 Andre formål,Planlagt og i bruk,Innmarksbeite,0.38915762231533496
Holmestrand,10 Andre formål,Planlagt og i bruk,Myr,0.813561133316864
Holmestrand,10 Andre formål,Planlagt og i bruk,Overflatedyrka jord,1.0959833632013956
Holmestrand,10 Andre formål,Planlagt og i bruk,Samferdsel,25.442313116314175
Holmestrand,10 Andre formål,Planlagt og i bruk,Skog,104.3775612614086
Holmestrand,10 Andre formål,Planlagt og i bruk,Åpen fastmark,90.87551897958953
Holmestrand,11 Samferdselsanlegg,Antatt planreserve,Bebygd,2.2423847320341794
Holmestrand,11 Samferdselsanlegg,Antatt planreserve,Ferskvann,0.05652421217029912
Holmestrand,11 Samferdselsanlegg,Antatt planreserve,Fulldyrka jord,31.690407646212076
Holmestrand,11 Samferdselsanlegg,Antatt planreserve,Hav,3.724758234191326
Holmestrand,11 Samferdselsanlegg,Antatt planreserve,Innmarksbeite,3.5031890635985667
Holmestrand,11 Samferdselsanlegg,Antatt planreserve,Overflatedyrka jord,0.7681675942990199
Holmestrand,11 Samferdselsanlegg,Antatt planreserve,Skog,107.41862447255052
Holmestrand,11 Samferdselsanlegg,Antatt planreserve,Åpen fastmark,47.58301342068551
Holmestrand,11 Samferdselsanlegg,Planlagt og i bruk,Bebygd,427.91121743263915
Holmestrand,11 Samferdselsanlegg,Planlagt og i bruk,Ferskvann,1.3481204737247616
Holmestrand,11 Samferdselsanlegg,Planlagt og i bruk,Fulldyrka jord,157.33050525387355
Holmestrand,11 Samferdselsanlegg,Planlagt og i bruk,Hav,5.733642621395848
Holmestrand,11 Samferdselsanlegg,Planlagt og i bruk,Innmarksbeite,10.11821937987502
